L4 | Sat Jan 18 00:07:20 2020 (615 ms) | general | exiting: calling SDL_CloseAudio
L5 | Sat Jan 18 00:21:54 2020 (537 ms) | general |    1360 x 768

L5 | Sat Jan 18 00:21:54 2020 (537 ms) | general |    1280 x 1024

L5 | Sat Jan 18 00:21:54 2020 (537 ms) | general |    1280 x 960

L5 | Sat Jan 18 00:21:54 2020 (537 ms) | general |    1280 x 800

L4 | Sat Jan 18 00:21:54 2020 (537 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:21:54 2020 (537 ms) | general |    1280 x 768

L5 | Sat Jan 18 00:21:54 2020 (537 ms) | general |    1152 x 864

L5 | Sat Jan 18 00:21:54 2020 (537 ms) | general |    1024 x 768

L5 | Sat Jan 18 00:21:54 2020 (537 ms) | general |    800 x 600

L5 | Sat Jan 18 00:21:54 2020 (537 ms) | general |    640 x 480

L4 | Sat Jan 18 00:21:54 2020 (590 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Sat Jan 18 00:21:54 2020 (834 ms) | general | Recording game into file recordedGames/recordedGame000086.txt
L4 | Sat Jan 18 00:21:54 2020 (834 ms) | general | Only keeping 20 past recordings
L4 | Sat Jan 18 00:21:54 2020 (834 ms) | general | Removed 1 stale recordings
L4 | Sat Jan 18 00:24:22 2020 (900 ms) | general | exiting...

L4 | Sat Jan 18 00:24:22 2020 (900 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sat Jan 18 00:24:23 2020 (111 ms) | general | exiting: Deleting sceneHandler

L4 | Sat Jan 18 00:24:23 2020 (111 ms) | general | Freeing sound sprites

L4 | Sat Jan 18 00:24:23 2020 (112 ms) | general | exiting: freeing frameDrawer

L4 | Sat Jan 18 00:24:23 2020 (226 ms) | general | exiting: Deleting screen

L4 | Sat Jan 18 00:24:23 2020 (226 ms) | general | exiting: freeing drawString

L4 | Sat Jan 18 00:24:23 2020 (228 ms) | general | exiting: calling SDL_Quit()

L4 | Sat Jan 18 00:24:23 2020 (261 ms) | general | exiting: Done.

L4 | Sat Jan 18 00:24:29 2020 (200 ms) | general | New game starting up
L4 | Sat Jan 18 00:24:29 2020 (200 ms) | general | Target game image size:  1280x720

L4 | Sat Jan 18 00:24:29 2020 (200 ms) | general | Ideal window dimensions:  1280x720

L4 | Sat Jan 18 00:24:29 2020 (201 ms) | general | Trying to start in fullscreen mode.
L4 | Sat Jan 18 00:24:29 2020 (201 ms) | general | The following frame rates are considered possible:
L4 | Sat Jan 18 00:24:29 2020 (201 ms) | general | 30 fps
L4 | Sat Jan 18 00:24:29 2020 (201 ms) | general | 60 fps
L4 | Sat Jan 18 00:24:29 2020 (201 ms) | general | 100 fps
L4 | Sat Jan 18 00:24:29 2020 (201 ms) | general | 120 fps
L4 | Sat Jan 18 00:24:29 2020 (201 ms) | general | 144 fps
L4 | Sat Jan 18 00:24:29 2020 (201 ms) | general | Setting real (not borderless) fullscreen mode
